,0
547,1
548,1
549,4
550,11
551,1
552,2
553,11
554,4
555,1
556,3
557,4
558,3
559,3
560,1
561,1
562,7
563,3
564,4
565,3
566,2
567,5
568,2
569,1
570,3
571,4
572,5
573,1
574,5
575,3
576,2
577,2
578,1
579,3
580,8
581,2
582,6
583,1
584,1
585,3
586,3
587,5
588,1
589,1
590,4
591,4
592,1
593,4
594,4
595,11
596,4
597,7
598,1
599,6
600,2
601,5
602,3
603,1
604,4
605,3
606,1
607,1
608,1
609,2
610,5
611,3
612,1
613,5
614,1
615,3
616,3
617,6
618,1
619,5
620,3
621,13
622,3
623,2
624,2
625,1
626,1
627,4
628,4
629,2
630,1
631,6
632,10
633,2
634,3
635,3
636,2
637,1
638,2
639,7
640,8
641,1
642,5
643,2
644,3
645,5
646,2
647,1
648,1
649,5
650,2
651,1
652,1
653,2
654,6
655,4
656,1
657,4
658,3
659,7
660,2
661,2
662,1
663,11
664,1
665,1
666,2
667,1
668,5
669,3
670,2
671,2
672,2
673,1
674,10
675,5
676,5
677,1
678,1
679,1
680,6
681,2
682,3
683,1
684,6
685,3
686,2
687,2
688,8
689,7
690,1
691,5
692,2
693,1
694,1
695,2
696,4
697,5
698,5
699,4
700,3
701,1
702,4
703,3
704,3
705,1
706,9
707,3
708,5
709,2
710,5
711,6
712,2
713,4
714,5
715,6
716,2
717,6
718,1
719,3
720,3
721,2
722,1
723,1
724,3
725,4
726,7
727,8
728,2
729,7
730,2
731,1
732,2
733,5
734,1
735,1
736,1
737,2
738,5
739,2
740,4
741,2
742,3
743,2
744,6
745,4
746,2
747,2
748,3
749,2
750,9
751,1
752,3
753,4
754,4
755,2
756,1
757,2
758,2
759,6
760,2
761,2
762,2
763,8
764,2
765,3
766,5
767,7
768,2
769,1
770,13
771,3
772,7
773,5
774,2
775,2
776,4
777,1
778,1
779,1
780,1
781,1
782,3
783,4
784,2
785,8
786,1
787,10
788,1
789,1
790,1
791,3
792,1
793,4
794,2
795,5
796,5
797,5
798,4
799,1
800,2
801,3
802,1
803,2
804,8
805,1
806,1
807,11
808,1
809,2
810,3
811,1
812,4
813,7
814,1
815,12
816,2
817,9
818,1
819,2
820,10
821,1
822,1
823,1
824,1
825,1
826,7
827,6
828,1
829,9
830,5
831,1
832,5
833,3
834,1
835,2
836,1
837,2
838,1
839,1
840,3
841,2
842,2
843,12
844,1
845,5
846,5
847,3
848,1
849,1
850,4
851,1
852,1
853,5
854,3
855,13
856,2
857,3
858,3
859,1
860,5
861,1
862,1
863,2
864,1
865,4
866,2
867,5
868,1
869,4
870,5
871,1
872,3
873,1
874,11
875,1
876,3
877,1
878,5
879,3
880,3
881,1
882,2
883,2
884,5
885,1
886,5
887,1
888,5
889,1
890,4
891,9
892,2
893,3
894,2
895,4
896,4
897,1
898,1
899,1
900,1
901,4
902,4
903,5
904,3
905,2
906,1
907,1
908,2
909,3
910,1
911,2
912,3
913,1
914,1
915,2
916,1
917,2
918,6
919,5
920,1
921,5
922,2
923,2
924,4
925,5
926,1
927,3
928,5
929,4
930,9
931,1
932,1
933,7
934,1
935,1
936,4
937,1
938,5
939,7
940,5
941,6
942,4
943,4
944,3
945,1
946,5
947,3
948,12
949,6
950,1
951,4
952,1
953,5
954,4
955,1
956,7
957,2
958,1
959,1
960,2
961,2
962,1
963,4
964,2
965,3
966,1
967,2
968,2
969,2
970,2
971,2
972,1
973,1
974,3
975,4
976,5
977,1
978,8
979,13
980,3
981,1
982,2
983,3
984,1
985,1
986,6
987,1
988,2
989,4
990,5
991,5
992,12
993,2
994,2
995,2
996,3
997,2
998,8
999,4
